deal_unique_id,from_currency_iso_code,to_currency_iso_code,deal_timestamp,deal_amount
1,JPY,USD,2016-05-23 10:59:12,106400
2,USD,GBP,2016-04-26 18:21:20,532
3,EUR,USD,2016-01-06 9:14:52,100
4,EUR,UGX,2016-02-09 21:45:21,100
5,UGX,USD,2016-03-12 7:47:3,1429993
6,GBP,EUR,2016-03-11 0:40:23,634
7,EUR,CAD,2016-04-09 1:33:23,100
8,UGX,USD,2016-05-01 6:24:22,1406351
9,EUR,UGX,2016-05-15 2:40:15,100
10,EUR,JPY,2016-02-28 11:31:17,100
11,EUR,USD,2016-01-19 5:53:34,100
12,UGX,USD,2016-03-12 17:10:24,2997152
13,UGX,USD,2016-02-16 19:32:36,3252273
14,UGX,USD,2016-04-03 11:30:1,1692053
15,GBP,EUR,2016-01-10 22:27:17,175
16,GBP,USD,2016-05-08 21:31:14,271
17,EUR,UGX,2016-01-03 23:2:59,100
18,GBP,JPY,2016-03-28 9:31:39,904
19,GBP,UGX,2016-01-31 17:31:45,648
20,JPY,EUR,2016-02-22 9:25:25,16131
21,JPY,EUR,2016-04-01 4:48:19,57929
22,EUR,CAD,2016-05-03 20:33:50,100
23,JPY,CAD,2016-02-24 2:52:26,64453
24,USD,GBP,2016-05-14 0:6:43,693
25,JPY,CAD,2016-04-16 11:16:48,73808
26,JPY,EUR,2016-04-23 4:33:8,74280
27,USD,EUR,2016-05-06 12:57:44,415
28,UGX,USD,2016-04-06 2:40:23,2154032
29,GBP,UGX,2016-04-10 2:58:38,595
30,GBP,JPY,2016-02-10 20:28:38,664
31,EUR,JPY,2016-03-16 16:5:56,100
32,USD,GBP,2016-03-18 22:58:28,813
33,EUR,UGX,2016-02-16 14:20:51,100
34,GBP,EUR,2016-05-05 7:52:16,954
35,EUR,CAD,2016-05-19 6:10:51,100
36,GBP,USD,2016-05-13 0:21:29,914
37,GBP,UGX,2016-04-16 21:33:33,281
38,EUR,USD,2016-04-25 3:17:20,100
39,EUR,JPY,2016-04-19 5:35:24,100
40,GBP,EUR,2016-01-31 1:39:45,649
41,GBP,UGX,2016-03-17 9:15:15,303
42,JPY,EUR,2016-04-10 17:43:45,34982
43,UGX,USD,2016-04-08 12:40:58,718282
44,USD,JPY,2016-03-22 1:39:46,940
45,EUR,CAD,2016-03-08 2:33:6,100
46,EUR,CAD,2016-02-03 10:11:43,100
47,JPY,EUR,2016-02-25 1:53:46,16244
48,JPY,USD,2016-05-14 12:0:58,87066
49,UGX,USD,2016-05-27 14:9:30,3017077
50,JPY,USD,2016-02-04 13:57:34,43233
51,EUR,UGX,2016-01-14 13:44:54,100
52,EUR,JPY,2016-04-23 14:40:31,100
53,UGX,USD,2016-03-18 10:35:9,3294818
54,GBP,EUR,2016-04-30 23:38:22,237
55,UGX,USD,2016-02-21 23:59:58,3036407
56,EUR,CAD,2016-01-31 22:11:18,100
57,USD,UGX,2016-03-02 2:39:25,951
58,JPY,CAD,2016-01-13 20:0:24,19701
59,GBP,JPY,2016-03-01 12:3:30,356
60,UGX,USD,2016-01-25 2:31:7,2734262
61,JPY,USD,2016-02-06 9:42:16,80835
62,JPY,USD,2016-04-03 0:26:57,34663
63,EUR,USD,2016-03-11 16:41:7,100
64,UGX,USD,2016-01-17 0:29:50,1868641
65,USD,UGX,2016-01-05 11:40:50,692
66,USD,GBP,2016-03-14 23:40:38,560
67,GBP,UGX,2016-02-08 3:49:53,829
68,EUR,USD,2016-05-26 11:8:57,100
69,GBP,UGX,2016-02-05 8:7:5,973
70,GBP,UGX,2016-02-06 13:21:17,132
71,UGX,USD,2016-01-30 0:49:10,1831131
72,JPY,EUR,2016-04-10 16:45:57,60642
73,GBP,EUR,2016-03-12 11:29:14,842
74,GBP,JPY,2016-03-19 12:57:10,789
75,USD,JPY,2016-05-04 16:40:40,534
